anomaly_score,roc_auc,calibrated_threshold,balanced_accuracy,precision,recall,f1,test_false_positive_rate,threshold_source
Reconstruction MSE,0.3365079365079365,0.0833657756447792,0.5238095238095238,1.0,0.047619047619047616,0.09090909090909091,0.0,Notebook 2 independent normal calibration
1 - SSIM,0.40158730158730155,0.6950826644897461,0.5678571428571428,0.8571428571428571,0.2857142857142857,0.42857142857142855,0.15,Notebook 3 reproduced normal calibration subset
