trial,initial_learning_rate,batch_size,epochs_ran,best_epoch,best_validation_mse,final_learning_rate
1,0.001,16,9,4,0.08205527067184448,0.0005000000237487257
2,0.001,8,7,2,0.08291909843683243,0.0005000000237487257
3,0.0001,16,7,2,0.12891201674938202,4.999999873689376e-05
4,0.0001,8,6,1,0.12894435226917267,4.999999873689376e-05
